,Label,名称,Taste,Type
3084,0.0,铃当子,寒、甘,脾
10572,0.0,杭州石荠薴,温、辛,肺、膀胱、脾、肝
2270,0.0,九翅豆蔻,温、辛,胃、脾
2266,0.0,九节菖蒲,温、辛,心、脾、肝
10369,0.0,灰星鲨皮,温、甘,胃、脾
7041,0.0,木香木香,温、苦、辛,大肠、三焦、胃、胆、脾
11365,0.0,青香茅,温、辛,肺、心
10835,0.0,阔柄蟹甲草,温、辛,肺、膀胱
5170,0.0,突厥雀,热、甘,胃、脾
880,0.0,大腹皮,温、辛,大肠、小肠、胃、脾
882,0.0,大风子油,热、辛、毒,肺、脾
5171,0.0,茼蒿,凉、甘、辛,心、胃、脾
885,0.0,大肺筋草,温、甘、辛,肺、肝
888,0.0,大萼鹿角藤,温、辛,肺、肾
9056,0.0,木天蓼根,平、涩、辛,脾、肝
3416,0.0,毛叶三条筋,温、甘、辛,肺、肝
11371,0.0,浅裂相异石韦,寒、甘、淡,肺、脾
6253,0.0,饴糖,温、甘,肺、胃、脾
12085,0.0,云南甘草,平、甘、辛,肺、心、胃、脾
896,0.0,大巢菜,寒、甘、辛,心、脾、肝
2243,0.0,藿香,温、辛,肺、胃、脾
2240,0.0,衡州乌药,温、甘、辛,脾、肾
2238,0.0,鹤骨,温、咸、辛,脾、肾
5714,0.0,纤冠藤,温、甘、辛,肝
9058,0.0,木棉皮,温、甘、酸,脾、肝
12080,0.0,鸭儿芹根,温、辛,肺
8915,0.0,野料豆,温、甘,胃、脾
9421,0.0,菖蒲叶,温、辛,肺、心
9424,0.0,刺榆,平、苦、甘、辛,心、脾
6479,0.0,椰子油,温、辛,肺、脾
10046,0.0,大花贵州素馨,温、甘,胃、脾、肾
9057,0.0,木薯,平、咸、辛,脾、肝
7035,0.0,两头尖,热、辛、毒,脾
11354,0.0,青海沙蜥,温、咸、甘,大肠、脾、肾
10055,0.0,耳形瘤足蕨,温、辛,肺
794,0.0,大头狗,温、咸、辛,脾
2346,0.0,鸡爪草,温、甘、辛,肺、脾、肝
798,0.0,大蒜,温、辛,肺、大肠、胃、脾
6506,0.0,樱桃枝,温、甘、辛,胃、脾
7024,0.0,海螵蛸,温、咸、涩,脾、肾
7025,0.0,黄芪,温、甘,肺、脾
11330,0.0,千里香杜鹃,温、辛,肺
2339,0.0,鸡爪枝皮,温、辛,肺
10067,0.0,二色补血草,平、温、苦、涩、甘、淡、毒,胃、脾
10066,0.0,鹅脚板根,温、苦、甘、辛、毒,肺、大肠、胃
6502,0.0,蝇虎,温、辛,脾、肝
3399,0.0,木瓜根,温、涩、酸、毒,脾、肝
824,0.0,大麦秸,温、苦、甘,肺、脾
10371,0.0,海狗油,热、辛,脾、肾
6720,0.0,珍珠风子,温、辛,肺
828,0.0,大麻药,温、辛、麻、毒,肺、心
10062,0.0,萼果香薷,温、辛、毒,肺
10276,0.0,海南砂仁,温、辛,胃、脾
2301,0.0,尖连蕊茶根,温、甘,脾
2302,0.0,尖槐藤,寒、甘、辛,胆、肝
842,0.0,大金牛草,平、甘、辛,肺、脾
6496,0.0,榆白皮,寒、甘,肺、膀胱、脾
11351,0.0,青棉花藤根,凉、甘、辛、酸,脾、肝
10584,0.0,厚唇重唇鱼骨,温、咸、辛,膀胱、肾
9524,0.0,长叶金柑,温、甘、辛、酸,脾、肝
3402,0.0,木豆,平、涩、辛、毒,脾、肝
11348,0.0,全绿橐吾,温、辛,肺
11346,0.0,青檀香,温、苦、毒,胃、脾
5743,0.0,西藏鸡爪草,温、甘、辛,肺、脾
831,0.0,大绿藤,温、辛,脾、肝
9415,0.0,赤涅,甘、毒,脾、肾
10847,0.0,棱鲻,温、咸、甘,胃、脾
9311,0.0,斑鲆,温、苦、辛,胃、脾
9785,0.0,地椒,温、辛、毒,肺、脾
10044,0.0,多毛西风芹,温、甘、辛,肺
3936,0.0,七星剑,温、辛,脾、肝
3463,0.0,米皮糠,温、甘、辛,大肠、胃
9803,0.0,大叶花椒茎叶,甘、辛、毒,肺、肾
6734,0.0,钻石风,温、涩、辛,肺
9805,0.0,叠裂银莲花,凉、辛,肺、脾
10037,0.0,定木香,温、辛,肺、大肠
2137,0.0,黑种草,温、甘、辛,肺、心
11415,0.0,儒艮,温、甘、辛,肺、脾
12032,0.0,狭叶姜黄,温、辛,胃、脾
1006,0.0,地枫皮,温、涩、辛、毒,胃、脾
1007,0.0,地胆,温、辛、毒,肺
10035,0.0,淡黄香薷,温、辛、香、毒,心、大肠、膀胱
9432,0.0,豉汁,平、辛,肺、脾
11422,0.0,人指甲,平、温、咸、甘、毒,脾、肝
10034,0.0,大麻哈鱼肉,温、甘、辛,胃、脾
12030,0.0,小绿刺,温、辛,心
11425,0.0,人参条,温、苦、甘,肺、脾
3915,0.0,蒲黄,平、甘、辛,心、脾、肝
12012,0.0,细棉花,平、涩、辛,心、大肠、脾、肝
11433,0.0,人参果,温、甘,胃、脾
12014,0.0,腺毛黑种草,温、苦,胃、胆、脾
12016,0.0,香樟,温、辛,胃、脾
1033,0.0,豆黄,温、甘,胃、脾
11407,0.0,日本木瓜,温、酸,脾、肝
2111,0.0,蚶,温、甘,胃、脾
1029,0.0,豆油,温、甘、辛,大肠
1028,0.0,杜父鱼,温、甘,胃、脾
12019,0.0,细茎旋花豆,温、涩、甘,胃、脾
12024,0.0,小花溲疏,温、辛,肺
10032,0.0,大一枝箭,温、甘、辛、毒,肺、脾
12027,0.0,香茅根,温、辛,心
7067,0.0,升麻,寒、甘、辛,肺、大肠、胃、脾
11327,0.0,青蚨,温、辛、毒,脾、肾
6732,0.0,哉果,温、甘、辛,胃、脾、肾
9430,0.0,长距阔蕊兰,温、苦、酸,胃、脾
9140,0.0,零陵香,温、辛,肺
9788,0.0,短叶赤车,温、辛,肺、心、肾
9060,0.0,木馒头,寒、甘、酸,脾、肝
926,0.0,对叶四块瓦,平、辛、毒,心、脾、肾
2213,0.0,蒿雀,温、甘,脾、肾
2209,0.0,鲎肉,平、咸、辛、毒,大肠、脾
11388,0.0,黔桂醉魂藤,平、辛,脾
11389,0.0,青酒缸根,温、苦,心、胃、脾
9136,0.0,蝼蛄虾,温、辛,肺
12065,0.0,锡金岩黄芪,温、甘,肺、脾
941,0.0,冬葵根,寒、甘,膀胱、脾
11392,0.0,青蒜,温、辛,胃、脾
12063,0.0,小叶桑,寒、甘、辛,肺
946,0.0,冬瓜皮,寒、甘,肺、小肠、脾
7058,0.0,肉豆蔻,温、辛,大肠、胃、脾
12060,0.0,小蓑衣藤,温、辛,肺、脾
952,0.0,打米花,温、辛,肺
976,0.0,地桃花,凉、甘、辛,肺、脾
5691,0.0,血满草,温、甘、辛,脾、肾
10828,0.0,宽叶羌活,温、苦、辛,肺、脾
12050,0.0,鴞,温、甘、毒,脾
10292,0.0,葫芦七,温、甘、辛,肺、肝
10597,0.0,华西龙头草,温、辛,肺
3454,0.0,母猪藤根,凉、辛、毒,肺、脾
12056,0.0,狭叶山胡椒,温、辛、毒,心
6812,0.0,蚱蜢,温、甘、辛,肺、脾、肝
2183,0.0,黑萼棘豆,温、甘,膀胱、脾、肾
11396,0.0,茄稞虫,温、辛、淡,肺、肾
9517,0.0,翅托品猪屎豆,温、甘、辛,肝
9135,0.0,漏斗瓶蕨,温、辛,肺
9792,0.0,东风菜根,温、辛、香、毒,肺、脾、肝
5696,0.0,血风藤,温、甘,肺、脾
792,0.0,大透骨消,温、苦、辛,心、脾
10271,0.0,红花苗,温、辛,心、脾
2351,0.0,鸡血藤,温、苦、甘,心、脾
619,0.0,蚕茧,温、甘,脾
620,0.0,蚕豆叶,温、苦、甘,肺、心、脾
4716,0.0,苏合香,温、甘、辛、毒,肺、胃、脾、肝
12198,0.0,眼镜王蛇毒,温、辛、毒,心
625,0.0,蚕豆,平、甘、辛,心、胃、脾
2493,0.0,金橘,温、甘、辛,肺
10533,0.0,胡荽,寒、平、温、辛、毒,肺、脾
6992,0.0,大枣大枣,温、甘,胃、脾
4081,0.0,铅粉,寒、甘、辛、毒,肺、脾、肾
5074,0.0,土常山,凉、辛、酸,脾
9736,0.0,稻草,平、温、热、甘、辛、毒,肺、脾
11271,0.0,拟蚕豆岩黄芪,温、甘,肺、脾
2477,0.0,金纳香,温、甘、辛,肝
9398,0.0,白蜡树皮,温、辛,脾、肾
12181,0.0,野漆树叶,温、辛、毒,肺、大肠、脾、肝
9320,0.0,白豆蔻壳,辛,胃、脾
2474,0.0,金钱白花蛇,温、咸、甘、毒,脾、肝
4708,0.0,苏头,温、辛,肺、脾
11281,0.0,欧当归,温、甘、辛,心、脾、肝
3352,0.0,马蓼,温、苦、辛,肺、大肠、脾
10872,0.0,莲生桂子草根,平、辛、毒,肺、脾
10259,0.0,广西落檐,温、甘,脾、肾
4071,0.0,荠苨,寒、甘,肺、脾
9395,0.0,包谷火焰包,温、甘,胃、脾
12173,0.0,玉簪叶,寒、甘、辛、毒,心、脾
12174,0.0,野绿麻,温、辛,脾、肝
657,0.0,葱花,温、辛,胃、脾
5822,0.0,香果树,温、甘、辛,胃
5080,0.0,天香炉,平、辛、淡,肺、大肠、脾、肝
6196,0.0,杨梅,温、甘、酸,胃、脾、肝
6997,0.0,稻芽,温、甘,胃、脾
3347,0.0,马陆,温、辛、毒,肺、心
7001,0.0,法半夏,温、辛,肺、胃、脾
617,0.0,蚕沙,温、甘、辛,胃、脾、肝
9323,0.0,扁豆,温、甘,胃、脾
9552,0.0,长蛇鲻肉,温、咸、甘,脾、肾
562,0.0,草豆蔻,温、辛,胃、脾
2543,0.0,韭根,温、辛,胃、脾
568,0.0,莼,寒、甘,脾、肝
570,0.0,臭樟,温、苦、辛,肺、脾
6185,0.0,芸薹,平、甘、辛,肺、脾、肝
6981,0.0,陈皮,温、苦、辛,肺、脾
5059,0.0,土桂皮,温、甘、辛,胃、脾、肝
2534,0.0,降香,温、辛、毒,肺、心、脾、肝
8951,0.0,喜马拉雅米口袋,温、苦、辛,脾
5060,0.0,土瓜狼毒,温、苦、辛、毒,胃、脾
10097,0.0,防风子,温、甘、辛,肝
12218,0.0,药水苏,平、辛,胃、脾
12217,0.0,野梨枝叶,温、辛,胃、脾
5064,0.0,土附,温、甘,胃、脾
12215,0.0,云南皂角根,温、辛,心
10887,0.0,奶椎,温、甘、辛,脾、肝
613,0.0,柴桂,温、甘、辛,脾、肝
9734,0.0,灯笼果,寒、甘、辛,肝
10090,0.0,榧根皮,温、甘,大肠、脾
10883,0.0,林氏海燕,温、咸、辛,胃、脾、肾
10531,0.0,虎肉,温、热、咸、甘、酸、毒,胃、脾
8949,0.0,霞天曲,温、甘、辛,胃、脾
12200,0.0,眼镜王蛇肉,温、咸、甘,脾、肝
5067,0.0,土蜂,温、辛、毒,肺
10381,0.0,滑叶山姜,温、辛,胃、脾
2517,0.0,金沸草,温、咸,大肠、脾
11249,0.0,南山姜,温、辛,胃、脾
12214,0.0,疣果砂仁,温、辛,胃、脾
2520,0.0,金顶蘑,温、甘,肺、脾
6539,0.0,礜石,热、甘、辛、毒,肺、脾
11250,0.0,粘毛蓼,温、辛,肾
11434,0.0,山羊豆,寒、涩、甘,脾、肾
3357,0.0,马骨,寒、甘,脾、肾
686,0.0,赪桐叶,平、甘、辛,脾、肝
7011,0.0,干姜干姜,热、辛,肺、心、胃、脾、肾
6516,0.0,薏苡仁,寒、甘、淡,肺、脾、肾
12137,0.0,有柄观音座莲,寒、甘、辛,肺、肾
11308,0.0,苤蓝,凉、涩、甘、辛、毒,肺、大肠、脾、肾
6512,0.0,蝤蛑,温、咸、辛,胃、脾
5795,0.0,香樟根,温、辛,脾、肝
6510,0.0,樱额,温、涩、甘,大肠、胃、脾
11313,0.0,破铜钱,平、辛,肺、胆、脾、肝
12132,0.0,芽生虎耳草,平、辛,胃、脾
11315,0.0,破风藤,寒、甘,脾
10555,0.0,黑色鳞毛蕨根,寒、甘,脾
2370,0.0,鸡肉,温、甘,胃、脾
2368,0.0,鸡桑叶,寒、甘、辛,肺
7017,0.0,藁本,温、辛,膀胱
7019,0.0,红参,温、苦、甘,肺、心、脾
9755,0.0,多裂独活,寒、甘、辛,肝
4028,0.0,青灰叶下珠,温、甘、辛,脾、肝
3393,0.0,木姜子,温、苦、辛,胃、脾
6507,0.0,樱桃核,温、辛,肺
1578,0.0,火腿,温、咸、甘,胃、脾
785,0.0,大细辛,温、辛,肺、脾、肝
10070,0.0,鹅臎,温、辛,胃、脾、肾
9531,0.0,赤麻鸭肉,温、咸、甘,脾
742,0.0,刀豆,温、甘、毒,大肠、胃、脾、肾
3392,0.0,木姜子叶,温、苦、辛,脾
9054,0.0,牧马豆,温、涩、辛,脾、肝
9758,0.0,短柄紫珠,温、苦,肺、脾
4690,0.0,石草鞋,温、辛,脾、肝
8925,0.0,鸭脚板草,温、甘、辛,肾
5781,0.0,细沙虫草,平、甘、辛,胃、脾
2367,0.0,鸡肾参,温、甘、辛,肾
6509,0.0,樱桃,温、甘、毒,胃、脾、肾
12162,0.0,油沙草,温、甘、辛,胃、脾、肝
9314,0.0,变蛋,寒、咸、涩、甘、辛,肺、大肠、脾
10863,0.0,鹿斑鲾,温、甘,胃、脾
5096,0.0,天牛,温、甘、毒,心、脾
12157,0.0,岩天麻,温、辛,肺
10082,0.0,鹅脚板,温、苦、甘、辛、毒,肺、大肠、胃
12156,0.0,羽裂圣蕨,温、甘,胃、脾
3361,0.0,马刀肉,寒、甘,脾、肝
10869,0.0,辽东栎壳斗,温、涩,脾、肾
9746,0.0,盾叶木,平、甘、辛,脾、肝
696,0.0,橙子皮,温、苦、辛,肺、脾
9404,0.0,百屋笋,平、温、甘、淡、毒,肺、脾
700,0.0,橙皮,温、苦、辛,肺、脾
5104,0.0,天韭,温、辛,肺
10866,0.0,鳞茎报春,温、甘,心、脾
9052,0.0,南天竹叶,温、辛,脾、肝
9748,0.0,杜松实,平、甘、辛,心、胃、膀胱、脾、肝
12150,0.0,盐津木莲,温、辛,肺、胃、脾
4700,0.0,生姜,温、辛,肺、胃、脾
4699,0.0,生姜皮,凉、辛,肺、脾
4697,0.0,生藤,温、甘、辛,胃、脾
734,0.0,丁香,温、辛,胃、脾、肾
4698,0.0,生漆,温、辛、毒,脾、肝
6521,0.0,鹬肉,温、甘,胃、脾
729,0.0,丁香树皮,温、辛,胃、脾
728,0.0,丁香油,热、甘、辛,胃、脾、肾
5797,0.0,香鼬,温、甘,心、脾
727,0.0,丁香枝,平、辛,胃、脾
3374,0.0,木香,温、苦、辛,肺、胃、脾
720,0.0,檫树,温、甘、辛,脾、肝
3373,0.0,木香子,温、苦、辛,胃、脾
7010,0.0,干漆干漆,温、辛、毒,脾、肝
7008,0.0,广藿香,温、辛,肺、胃、脾
9541,0.0,赤茯苓,平、温、甘、辛、淡、毒,肺、心、小肠、胃、膀胱、脾
722,0.0,蟾酥,温、辛、毒,心
560,0.0,草果,温、辛,胃、脾
10814,0.0,宽叶石防风,温、苦、辛,肺、脾
7069,0.0,松花粉,温、甘,脾、肝
9945,0.0,大叶糖胶树,温、辛,膀胱
3601,0.0,蒙自水芹,平、甘、辛,胃、膀胱、脾
9078,0.0,茉莉叶,温、甘、辛,脾、肝
11826,0.0,网球花,凉、辛,肺、脾
10348,0.0,辉韭,温、辛,肺、肾
11823,0.0,乌头,热、辛、毒,心、脾、肝
11819,0.0,无名子,温、涩、辛、毒,脾、肾
11635,0.0,山麻雀,温、辛,肺
11818,0.0,五指毛桃根,平、温、甘、辛、淡,肺、脾、肝
10346,0.0,华山松,温、苦、甘,胃、脾
11637,0.0,山姜花,温、辛、毒,胃、脾
11638,0.0,山香草,温、辛,膀胱
11640,0.0,少牙斑鲆,温、苦,胃、脾
10344,0.0,黑嘴蒲桃,温、涩、甘,肺、脾
1781,0.0,花脸细辛,温、辛、毒,肺、脾、肝
5354,0.0,无名木皮,温、辛,肾
1734,0.0,红豆蔻,温、辛,肺、脾
9079,0.0,茉莉花露,温、甘、辛,脾、肝
5356,0.0,无患子中仁,平、辛,大肠、胃、脾
11645,0.0,梭鲻,温、咸、甘,胃、脾、肝
1716,0.0,红花,温、辛,心
11653,0.0,莎木面,平、温、甘、毒,胃、脾
1427,0.0,狗爪樟皮,温、辛,大肠、胃、脾
9942,0.0,东川磨芋,温、甘、辛、毒,心、肝
1712,0.0,红花锦鸡儿,平、甘、辛,脾、肝
11800,0.0,瓮菜癀,寒、甘,心、脾
1704,0.0,红花岩黄芪,温、甘,肺、心、脾、肾
10343,0.0,黑印真鲨皮,温、苦、甘,胃、脾
9458,0.0,赤举,甘、毒,脾、肝
3634,0.0,麋脂,温、甘、辛,心、肝
5355,0.0,无漏子,温、甘,肺、脾
1782,0.0,花椒叶,热、辛,心、胃、脾
1784,0.0,花椒根,温、辛、毒,膀胱、肾
1367,0.0,甘草梢,寒、甘,心、脾、肝
9099,0.0,毛薯,温、辛、毒,大肠、脾、肝
1820,0.0,狐肉,温、甘,心、胃、脾、肾
10666,0.0,姜露,温、辛,肺、脾
8876,0.0,圆节山蚂蝗,热、辛,心、脾、肝
3785,0.0,逆阿落,温、涩、辛,大肠
6338,0.0,益智仁,温、辛,脾、肾
1816,0.0,虎耳还魂草,平、辛,脾、肝
11593,0.0,山黄瓜,平、甘、辛,心、脾
4503,0.0,水将军,温、辛、毒,肺
3781,0.0,柠檬桉叶,温、苦、辛,胃、脾
11596,0.0,思茅松树枝梢,温、甘、辛,膀胱、脾、肝
3779,0.0,柠檬皮,温、苦、辛、酸,胃、脾
1337,0.0,干姜,热、辛,肺、心、胃、脾
6415,0.0,野马肉,平、甘、辛、毒,脾、肝
3778,0.0,柠檬叶,温、苦、甘、辛,肺、大肠、胃
10765,0.0,戟叶火绒草,温、辛,肺、胃、脾
8874,0.0,圆叶南蛇藤根,寒、甘、辛,心、脾、肝
9077,0.0,母丁香,寒、甘,脾、肝
1787,0.0,花红叶,温、辛,肺
3598,0.0,棉花根,温、甘,肺、脾、肝
9271,0.0,矮冷水花,温、辛,肺
11839,0.0,乌翅真鲨,温、咸、甘,脾
1361,0.0,甘松,温、甘、辛,胃、脾
3635,0.0,麋肉,温、甘,脾、肾
1360,0.0,甘肃棘豆,温、辛,肺、心、小肠
4508,0.0,水茴香,温、甘、辛,肺、胃、脾
9270,0.0,艾片,平、温、苦、甘、辛、毒,脾
9949,0.0,多齿蛇鲻,温、咸、甘,脾、肾
10677,0.0,坚岸黄芪,温、甘,肺、心、脾、肾
5508,0.0,小叶云实,温、甘,胃、脾
3595,0.0,棉花子,热、辛、毒,脾、肾
1793,0.0,护心草,平、辛、淡,脾、肝
5370,0.0,乌药子,温、辛,脾、肾
5371,0.0,乌药叶,温、辛,脾、肾
9937,0.0,多裂黄檀,温、辛,肾
1520,0.0,高山大戟,寒、甘,脾、肝
9281,0.0,薄叶明地蕨,温、甘、辛,肺、心、肝
1527,0.0,高粱,温、涩、甘,肺、胃、脾
1529,0.0,高良姜,热、辛,胃、脾
10727,0.0,姜叶三七,温、辛,肺、心
11726,0.0,肉桂油,温、热、甘、辛,胃、脾
11725,0.0,太白岩黄芪,温、甘,肺、心、脾
10336,0.0,火斑鸠,温、咸、甘,胃、脾、肝
3672,0.0,牛尾参,平、甘、辛,肺、脾、肾
10726,0.0,角鞘山溪鲵,温、咸、辛,脾、肾
11724,0.0,驼乳,温、甘、毒,心、脾、肝
11723,0.0,通骨消,平、辛,脾、肾
9081,0.0,磨盘草子,温、甘、淡,脾、肝
11718,0.0,土半夏,温、辛、毒,肺、脾、肝
5411,0.0,文鳐鱼,温、甘、酸,胃、脾
6362,0.0,鸭儿芹果,温、辛,胃、脾
5434,0.0,芜菁,温、苦、甘、辛,肺、心、胃、脾
3685,0.0,牛脾,温、甘、酸,胃、脾
1570,0.0,鹳骨,寒、甘,肺、脾
5430,0.0,芜荑,温、苦、辛,胃、脾
11703,0.0,台湾林檎,温、涩、甘、酸,胃、脾
3693,0.0,牛奶浆根,温、甘、辛,肺、脾、肾
3694,0.0,牛奶柴,温、甘、淡,肺、脾、肾
9080,0.0,茉莉花,温、甘、辛,脾、肝
3684,0.0,牛肉,凉、温、甘,胃、脾
1591,0.0,化橘红,温、苦、辛,肺、脾
3696,0.0,牛毛毡,温、辛,肺
1557,0.0,滚山虫,温、咸、辛,肾
1596,0.0,禾虫,温、甘,胃、脾
1552,0.0,葛根,平、甘、辛,肺、胃、膀胱、脾
3679,0.0,牛髓,温、甘,心、脾、肾
9475,0.0,长梗地石桔,温、辛,脾、肾
11591,0.0,苏黄耆,温、甘,肺、脾、肾
10732,0.0,蒟蒻,温、苦、甘、辛、毒,肺、胃、脾
11741,0.0,土泡参,温、甘,胃、脾
3728,0.0,牛肚,温、甘,胃、脾
9872,0.0,肚拉,平、温、苦、甘、辛、麻、毒,肺、脾
11780,0.0,土银花叶,寒、甘,肺、脾
1457,0.0,狗肝,温、苦、咸、甘,胃、脾
9933,0.0,滇岩黄芪,温、甘,肺、脾
10737,0.0,假辣蓼,温、辛,肺、心、胃、脾
11670,0.0,石蜘蛛,温、苦、辛、毒,肺、心、膀胱、脾
1671,0.0,红芪,温、甘,肺、脾
1669,0.0,红曲,温、甘、毒,大肠、胃、脾、肝
1664,0.0,红升丹,热、辛、毒,肺、脾
9884,0.0,大蓑衣藤根,温、辛,肺、脾
5463,0.0,维氏假瘤蕨,温、咸、涩、辛,脾、肾
9482,0.0,刺额短刺鲀,温、咸、辛,肺、心、膀胱、肾
9461,0.0,吹风散,温、甘,肺、胃、脾、肾
3651,0.0,女萎,温、辛、毒,大肠、脾、肝
9928,0.0,大叶云实,温、甘、辛,脾、肝
11759,0.0,土香榧,温、甘,胃、脾
1506,0.0,桂丁,温、甘、辛,肺、胃、脾
11742,0.0,土槿皮,温、辛、毒,肺
11743,0.0,天葵,寒、甘,脾、肾
11747,0.0,土阿魏,温、辛,脾、肝
11676,0.0,粟糖,温、甘,大肠、胃、脾
1497,0.0,桂枝,温、甘、辛,肺、心、膀胱
7184,0.0,荜澄茄,温、辛,胃、膀胱、脾、肾
11751,0.0,土砂仁,温、苦、辛,胃、脾
10700,0.0,节瓜,甘、淡,肺、小肠、脾
9462,0.0,长毛对虾,温、咸、甘,脾、肾
9891,0.0,大杓鹬,温、咸,脾、肾
9890,0.0,钓樟根皮,温、辛、毒,心、大肠、小肠
11673,0.0,石韦根,寒、甘,脾、肝
9279,0.0,伯乐树,平、甘、辛,胃、脾、肝
1495,0.0,桂子,温、甘、辛,胃
1319,0.0,广西九里香根,温、苦、辛,胃、脾
11848,0.0,乌翅真鲨皮,温、苦,胃、脾
5524,0.0,小叶杜鹃,温、辛,肺
11973,0.0,仙茅参,温、甘,脾、肝
11490,0.0,双花兜兰,平、辛,脾、肝
7082,0.0,旋覆花,温、苦、咸、辛,肺、大肠、胃、脾
9830,0.0,丁香花,温、辛,肺
9308,0.0,八角香兰,温、辛,胃、脾
11971,0.0,香茹,凉、辛,胃、脾
10629,0.0,黑毛绣球,凉、辛、酸、毒,胃、胆、脾
3861,0.0,炮弹果,温、辛,肾
2001,0.0,黄皮果,温、甘、辛、酸,肺、胃
11494,0.0,三叶藤橘,温、辛,心
3857,0.0,砒石,热、辛、酸、毒,肺、大肠、胃、脾
11497,0.0,苏门白酒草,温、辛,肺
11965,0.0,喜山葶苈,平、辛,胃、脾
11963,0.0,小草寇,温、辛,肺、胃、脾
3519,0.0,密陀僧,平、咸、辛、毒,脾、肝
11501,0.0,山竹叶青,温、咸、甘,脾、肝
3856,0.0,砒霜,热、辛、酸、毒,肺、大肠、胃、脾
11945,0.0,香樟果,温、辛,肺
5585,0.0,小九节铃,温、辛,脾、肾
9837,0.0,单瓣木香花,温、涩,脾、肝
11515,0.0,石南藤,温、辛,小肠、脾、肝
7089,0.0,益智,温、辛,脾、肾
11512,0.0,山珠半夏,温、辛,肺、胃、脾
11974,0.0,小被单草,温、甘、淡,脾、肾
11950,0.0,香笔菌,温、甘、淡,胃、脾
10319,0.0,芫荽子,平、辛、酸、毒,肺、大肠、胃、脾
6432,0.0,野胡萝卜根,凉、甘、辛,胃、脾、肝
1968,0.0,黄羊油,温、甘,脾
11506,0.0,思茅松树皮,温、辛,肺、脾、肝
1971,0.0,黄芫花,温、辛、毒,肺、肾
10318,0.0,灰星鲨胎,温、咸、甘,脾、肝
11511,0.0,蒜梗,温、辛,脾
6802,0.0,猪肚,温、甘,胃、脾
6290,0.0,岩豇豆,平、甘、辛,肺、脾
3873,0.0,菩提树皮,温、辛,肺
12010,0.0,小羊角兰,温、香,脾、肝
9066,0.0,木荷,温、辛,脾、肝
12008,0.0,小茅香,平、温、热、辛、毒,肺
9439,0.0,长条蛇鲻肉,温、咸、甘,脾、肾
4638,0.0,石龙刍根,寒、涩、甘,心、脾、肝
9811,0.0,淡黄荚蒾,温、辛,肾
12003,0.0,小皱蝽,温、咸、甘、辛,脾、肾
2067,0.0,黄颔蛇骨,温、甘,脾
11998,0.0,香樟叶,温、辛,肺
2066,0.0,黄颔蛇头,温、甘,心、脾
2064,0.0,黄花菜,温、甘、辛、毒,膀胱、肝
5648,0.0,小巢菜,平、甘、辛,肺、大肠、胃、脾
8905,0.0,野竹兰,温、苦、甘、辛,胃
2056,0.0,黄花堇菜,温、甘、辛,脾、肝
3893,0.0,排骨灵,温、涩、辛,脾、肝
9444,0.0,虫笋,甘、淡,膀胱、脾
10012,0.0,多裂骆驼蓬,凉、辛,肺、脾
11477,0.0,桑鳸,温、甘、毒,胃、脾
3874,0.0,菩提树花,温、辛,肺
1120,0.0,滇池海棠,温、甘、酸,胃、脾、肝
10622,0.0,黑升麻,温、甘、辛,肺、膀胱
11985,0.0,香花菜,温、甘、辛,肺、肾
1107,0.0,滇绣球,凉、辛、毒,心、胃、脾
11978,0.0,小凤尾草,温、甘、辛,肺、脾
10621,0.0,胡葱子,温、甘、辛,脾
7079,0.0,细辛,温、辛,肺、心、肾
11464,0.0,石荠苧,凉、温、苦、辛、毒,肺、大肠、脾
8904,0.0,野棕,甘、辛,胃
10615,0.0,黄胸鹀,温、咸、甘,脾、肾
9067,0.0,木瓜,平、辛,脾、肝
11988,0.0,下延吉当归,温、甘、辛,肺、心
6740,0.0,珠兰,温、甘、辛,肝
3910,0.0,蒲桃壳,温、甘、酸,肺、脾
8309,0.0,砂仁花,温、辛,胃、脾、肾
8308,0.0,砂仁壳,温、辛,胃、脾、肾
11905,0.0,小百部,温、苦、甘、辛、毒,肺
9451,0.0,长叶赤爬果,温、辛,心
9265,0.0,爱地草,温、苦、甘、辛,心、胃、脾
9267,0.0,暗罗,温、辛,脾、肝
11570,0.0,山肉桂,温、甘、辛,膀胱、脾、肾
11571,0.0,少果吴茱萸,热、苦、辛、毒,胃、脾
10781,0.0,戟叶酸模,温、涩、辛、酸,肺、膀胱
1869,0.0,荭草,平、辛、毒,脾、肝
10652,0.0,卷折馒头蟹,温、咸、辛,肺、心
1862,0.0,厚朴,温、苦、辛,大肠、胃、脾
11572,0.0,三条筋,温、甘、辛,胃、脾、肾
11883,0.0,狭叶败酱,温、辛,肺、大肠
1860,0.0,厚朴花,温、苦、辛,肺、胃、脾
9493,0.0,臭檀,温、甘、辛,胃、脾
9851,0.0,滇藏五味子,温、酸,肺、脾、肾
3566,0.0,猫胞衣,温、甘,胃、脾
5310,0.0,檀香,温、辛,肺、胃、脾
11588,0.0,苏子,温、辛,肺、大肠
3586,0.0,麻口皮子药,温、辛、毒,肺、脾、肝
11585,0.0,神仙掌花,平、辛,心、脾
10663,0.0,假荆芥,温、辛,肺、脾、肝
3580,0.0,麻妹条叶,平、辛,脾、肝
3794,0.0,南藤,温、甘、辛,小肠、脾、肝
6321,0.0,洋虫,温、甘、辛,肺、大肠、胃
1301,0.0,蝮蛇,温、甘、毒,脾、肝
6327,0.0,圆叶乌头,热、苦、辛、毒,胃、脾
